"","SAS","EAS","EUR","VNP"
"Baseline",38.7417973438319,38.6531299584053,38.7672603531467,38.2033786361888
"EQ_uniform",38.7410916672238,38.6437121139025,38.7038235479321,38.034413533988
"EQ_MAF",38.3757340287137,38.7254345667062,38.5839898619949,38.1082843502455
"TagIt",38.5156027889739,38.2267404726205,38.0223297173771,37.9923658013877
"FastTagger",38.831958361214,38.8100939025671,38.6334070899624,39.3354283820336
"LmTag_K1",38.2923627139663,38.3346620294365,38.1899105128446,37.9715578187232
"LmTag_K10",44.2371849483601,45.5087704131085,45.2169604108444,44.8338509307626
"LmTag_K20",46.4926543895428,47.5524983881931,47.0207769571194,46.9680037880933
"LmTag_K30",48.0826890998385,48.7691632921937,48.6758172629223,48.2497077298707
"LmTag_K50",50.3258178751434,50.7599947411298,50.6590616660871,49.9096155521587
"LmTag_K100",53.4515731374207,53.3908072565678,53.5910500697321,52.6719540220518
"LmTag_K200",56.4402762624691,55.6461001188713,56.4796583452756,55.1968187365678
"LmTag_K500",60.0071150206603,58.2684869962373,59.5261104266945,57.9256677748669
"LmTag_K1000",62.4933493998166,60.3757919474254,61.7329462180323,60.0111520126042
"LmTag_K1500",63.9803198373553,61.6248378663518,63.0654630392016,61.3871607374857
"LmTag_K2000",65.086306773988,62.5555648109894,64.0600895176815,62.3699675215302
